species,genus,family
Morinda pacifica,Morinda,Rubiaceae
Dischidia rhodantha,Dischidia,Apocynaceae
Gynochthodes calciphila,Gynochthodes,Rubiaceae
Tassadia kamaensis,Tassadia,Apocynaceae
Lasianthus gardneri,Lasianthus,Rubiaceae
Pseudodiplospora andamanica,Pseudodiplospora,Rubiaceae
Dimetia capitellata,Dimetia,Rubiaceae
Crucianella exasperata,Crucianella,Rubiaceae
Kuepferia masonii,Kuepferia,Gentianaceae
Sisyranthus barbatus,Sisyranthus,Apocynaceae
Payera bakeriana,Payera,Rubiaceae
Randia tafallana,Randia,Rubiaceae
Rustia costaricensis,Rustia,Rubiaceae
Araujia herzogii,Araujia,Apocynaceae
Parapentas setigera,Parapentas,Rubiaceae
Philibertia multiflora,Philibertia,Apocynaceae
Philibertia volcanensis,Philibertia,Apocynaceae
Randia tetracantha,Randia,Rubiaceae
Appunia morindoides,Appunia,Rubiaceae
Exallage auricularia,Exallage,Rubiaceae
× Hoodiotriche atlantica,× Hoodiotriche,Apocynaceae
Calciphila galgalensis,Calciphila,Apocynaceae
Rudgea sessilis,Rudgea,Rubiaceae
Neocouma parviflora,Neocouma,Apocynaceae
Exallage perhispida,Exallage,Rubiaceae
Elaeagia myriantha,Elaeagia,Rubiaceae
Clarkella nana,Clarkella,Rubiaceae
Gentianella benedictae,Gentianella,Gentianaceae
Arcytophyllum cachirense,Arcytophyllum,Rubiaceae
Gentianella cerina,Gentianella,Gentianaceae
Thliphthisa mazanderanica,Thliphthisa,Rubiaceae
Gentianella pernettyoides,Gentianella,Gentianaceae
Sarcolobus merrillii,Sarcolobus,Apocynaceae
Gentianella centamalensis,Gentianella,Gentianaceae
Gentianella chrysosphaera,Gentianella,Gentianaceae
Stenostomum multinerve,Stenostomum,Rubiaceae
Gentianella florida,Gentianella,Gentianaceae
Gentianella oranensis,Gentianella,Gentianaceae
Ladenbergia macrocarpa,Ladenbergia,Rubiaceae
Arcytophyllum peruvianum,Arcytophyllum,Rubiaceae
Cionura erecta,Cionura,Apocynaceae
Gentianella antarctica,Gentianella,Gentianaceae
Stenotis brevipes,Stenotis,Rubiaceae
Kibatalia macrophylla,Kibatalia,Apocynaceae
Vincetoxicum caffrum,Vincetoxicum,Apocynaceae
Vincetoxicum flanaganii,Vincetoxicum,Apocynaceae
Vincetoxicum arabicum,Vincetoxicum,Apocynaceae
Orbea pulchella,Orbea,Apocynaceae
Stenaria butterwickiae,Stenaria,Rubiaceae
Vincetoxicum yonakuniense,Vincetoxicum,Apocynaceae
Vincetoxicum himalaicum,Vincetoxicum,Apocynaceae
Vincetoxicum forrestii,Vincetoxicum,Apocynaceae
Vincetoxicum cinerascens,Vincetoxicum,Apocynaceae
Ophiorrhiza microcephala,Ophiorrhiza,Rubiaceae
Oldenlandia peduncularis,Oldenlandia,Rubiaceae
Oldenlandia lechleriana,Oldenlandia,Rubiaceae
Pyrostria montana,Pyrostria,Rubiaceae
Sabicea oblongifolia,Sabicea,Rubiaceae
Mesechites angustifolius,Mesechites,Apocynaceae
Ophiorrhiza yangchunensis,Ophiorrhiza,Rubiaceae
Pyrostria tulearensis,Pyrostria,Rubiaceae
Sabicea apocynacea,Sabicea,Rubiaceae
Paracephaelis cinerea,Paracephaelis,Rubiaceae
Ophiorrhiza ridsdalei,Ophiorrhiza,Rubiaceae
Arachnothryx ginetteae,Arachnothryx,Rubiaceae
Gentiana meiantha,Gentiana,Gentianaceae
Chassalia petitiana,Chassalia,Rubiaceae
Arachnothryx thiemei,Arachnothryx,Rubiaceae
Chassalia subherbacea,Chassalia,Rubiaceae
Arachnothryx izabalensis,Arachnothryx,Rubiaceae
Chassalia chrysoclada,Chassalia,Rubiaceae
Arachnothryx villosa,Arachnothryx,Rubiaceae
